229 e02-117-08-01_229_who
91 b01-079-05-02_91_,
273 g04-007-05-02_273_more
544 m04-019-05-06_544_garage
155 c03-096f-05-07_155_not
184 d04-008-00-01_184_Talmud
247 e07-083-08-00_247_which
342 g06-037k-05-03_342_of
60 a04-031-02-02_60_his
162 c04-050-01-02_162_earlier
109 b04-075-05-07_109_.
248 e07-105-03-06_248_composts
670 r06-035-02-05_670_Pierre's
670 r06-053-01-06_670_a
335 g06-026d-00-08_335_so
336 g06-026e-02-05_336_word
159 c04-017-01-07_159_might
162 c04-056-02-08_162_old
153 c03-094d-02-02_153_,
0 a05-029-01-04_0_.
0 a01-030u-06-03_0_the
71 a06-036-01-01_71_,
130 b06-059-01-03_130_And
123 b06-023-04-06_123_Germans
123 c06-100-04-06_123_Dee
184 d04-005-07-03_184_.
566 n02-082a-02-05_566_With
131 b06-068-01-00_131_Scarborough
139 c02-017-08-06_139_desired
273 g04-014-02-09_273_The
327 g04-081-02-00_327_a
113 b04-162-05-07_113_of
320 g04-036-00-11_320_to
527 m02-075-04-03_527_he
339 g06-018h-00-11_339_to
0 a01-128u-08-01_0_proposed
339 g06-047h-01-03_339_Anglesey
274 g04-017-05-07_274_years
212 e01-032-09-02_212_that
335 g06-031d-01-03_335_I
153 c03-007d-01-00_153_taken
273 g04-011-06-06_273_myself
155 c03-087f-07-02_155_faith
670 r06-076-01-01_670_people
151 c03-016b-04-08_151_she
193 d04-081-07-02_193_Passover
635 p06-248-03-09_635_two
152 c03-016c-08-06_152_sailor
126 b06-012-04-03_126_last
635 r06-027-01-03_635_were
60 a04-039-09-04_60_secure
604 p02-121-01-10_604_on
66 a06-000-06-05_66_regular
6 a01-011x-08-09_6_.
0 a05-039-02-04_0_This
342 g06-037k-06-01_342_the
544 m04-000-00-01_544_ONE
0 a01-030u-01-02_0_was
0 a05-048-07-02_0_that
243 e04-119-02-07_243_again
7 a01-014-00-05_7_is
248 e07-101-08-02_248_when
333 g06-047b-07-04_333_May
3 a01-003x-08-07_3_out-dated
161 c04-039-08-02_161_crooks
235 e04-043-04-02_235_approximately
551 n06-182-02-00_551_simple
334 g06-042c-05-02_334_been
164 c04-075-05-02_164_strings
150 c03-000a-01-05_150_opens
63 a04-081-08-01_63_-
45 a03-020-00-01_45_Souvanna's
0 a05-094-08-02_0_another
641 r02-038-00-13_641_blinked
25 a02-032-00-04_25_his
342 g06-045k-06-02_342_,
139 c02-007-08-03_139_abstraction
340 g06-026i-02-03_340_.
153 c03-016d-04-00_153_surroundings
344 g06-042m-04-07_344_curative
60 a04-043-03-02_60_Britain
613 p03-009-05-01_613_directions
548 m04-152-01-04_548_,
0 a05-044-07-01_0_Graaff
264 f02-040-04-00_264_Preparation
274 g04-032-02-08_274_the
333 g06-018b-03-08_333_'
337 g06-026f-02-10_337_was
92 b01-089-09-03_92_will
37 a02-124-03-04_37_stations
73 a06-044-03-07_73_Prime
0 a05-099-02-12_0_.
17 b01-057-07-01_17_for
42 a03-011-04-00_42_the
81 n02-146-02-00_81_said
332 g06-031a-02-09_332_be
94 b01-132-07-02_94_on
243 e04-127-05-05_243_they
87 b01-004-01-05_87_It
142 c02-030-01-03_142_no
273 g04-011-02-05_273_of
159 c04-017-04-00_159_VERDICT
659 r03-026-10-00_659_small
127 b06-015-06-00_127_has
89 b01-033-02-05_89_WEST
58 a04-010-01-01_58_House
529 m02-083-02-07_529_he
551 m06-019-01-01_551_may
150 c03-003a-00-06_150_.
220 e02-018-06-07_220_.
551 m06-019-07-00_551_know
