229,e02-117-08-01_229_who,who
273,g04-007-05-02_273_more,more
544,m04-019-05-06_544_garage,garage
155,c03-096f-05-07_155_not,not
37,a02-111-09-05_37_the,the
184,d04-008-00-01_184_Talmud,Talmud
247,e07-083-08-00_247_which,which
342,g06-037k-05-03_342_of,of
60,a04-031-02-02_60_his,his
20,a01-132-00-01_20_That,That
162,c04-050-01-02_162_earlier,earlier
117,b05-045-06-07_117_game,game
335,g06-026d-00-08_335_so,so
336,g06-026e-02-05_336_word,word
159,c04-017-01-07_159_might,might
162,c04-056-02-08_162_old,old
127,c06-106-04-04_127_and,and
0,a01-030u-06-03_0_the,the
130,b06-059-01-03_130_And,And
123,b06-023-04-06_123_Germans,Germans
123,c06-100-04-06_123_Dee,Dee
566,n02-082a-02-05_566_With,With
139,c02-017-08-06_139_desired,desired
273,g04-014-02-09_273_The,The
113,b04-162-05-07_113_of,of
320,g04-036-00-11_320_to,to
527,m02-075-04-03_527_he,he
339,g06-018h-00-11_339_to,to
274,g04-017-05-07_274_years,years
212,e01-032-09-02_212_that,that
153,c03-007d-01-00_153_taken,taken
273,g04-011-06-06_273_myself,myself
155,c03-087f-07-02_155_faith,faith
670,r06-076-01-01_670_people,people
151,c03-016b-04-08_151_she,she
635,p06-248-03-09_635_two,two
152,c03-016c-08-06_152_sailor,sailor
126,b06-012-04-03_126_last,last
635,r06-027-01-03_635_were,were
60,a04-039-09-04_60_secure,secure
604,p02-121-01-10_604_on,on
66,a06-000-06-05_66_regular,regular
0,a05-039-02-04_0_This,This
342,g06-037k-06-01_342_the,the
544,m04-000-00-01_544_ONE,ONE
0,a01-030u-01-02_0_was,was
0,a05-048-07-02_0_that,that
243,e04-119-02-07_243_again,again
7,a01-014-00-05_7_is,is
248,e07-101-08-02_248_when,when
333,g06-047b-07-04_333_May,May
649,r02-089-06-11_649_you,you
161,c04-039-08-02_161_crooks,crooks
551,n06-182-02-00_551_simple,simple
334,g06-042c-05-02_334_been,been
164,c04-075-05-02_164_strings,strings
150,c03-000a-01-05_150_opens,opens
0,a05-094-08-02_0_another,another
641,r02-038-00-13_641_blinked,blinked
25,a02-032-00-04_25_his,his
221,e02-021-01-04_221_may,may
60,a04-043-03-02_60_Britain,Britain
256,f01-143-00-00_256_And,And
0,a05-044-07-01_0_Graaff,Graaff
54,a03-059-10-07_54_with,with
274,g04-032-02-08_274_the,the
337,g06-026f-02-10_337_was,was
155,c03-087f-04-00_155_world,world
92,b01-089-09-03_92_will,will
73,a06-044-03-07_73_Prime,Prime
0,a05-053-01-04_0_to,to
17,b01-057-07-01_17_for,for
42,a03-011-04-00_42_the,the
256,f01-143-00-07_256_Since,Since
81,n02-146-02-00_81_said,said
332,g06-031a-02-09_332_be,be
94,b01-132-07-02_94_on,on
243,e04-127-05-05_243_they,they
87,b01-004-01-05_87_It,It
142,c02-030-01-03_142_no,no
273,g04-011-02-05_273_of,of
159,c04-017-04-00_159_VERDICT,VERDICT
659,r03-026-10-00_659_small,small
127,b06-015-06-00_127_has,has
89,b01-033-02-05_89_WEST,WEST
58,a04-010-01-01_58_House,House
529,m02-083-02-07_529_he,he
551,m06-019-01-01_551_may,may
551,m06-019-07-00_551_know,know
265,f02-044-07-07_265_and,and
16,a01-102-06-00_16_needs,needs
586,n04-190-00-03_586_want,want
152,c03-084c-02-03_152_them,them
0,a01-068u-03-03_0_is,is
548,m04-251-01-02_548_Morfydd,Morfydd
146,c02-059-05-01_146_the,the
236,e04-058-01-03_236_make,make
290,f07-046b-03-02_290_of,of
128,c06-076-09-06_128_the,the
153,c03-094d-10-02_153_gaudy,gaudy
35,a02-082-00-00_35_He,He
122,b05-088-02-05_122_many,many
551,n06-201-06-00_551_three,three
118,b05-055-04-04_118_as,as
69,a06-020-00-01_69_was,was
152,c03-000c-05-06_152_from,from
256,f01-143-03-04_256_of,of
36,a02-086-05-02_36_must,must
4,a01-007-01-03_4_created,created
0,a01-132u-02-07_0_to,to
0,a01-000u-05-02_0_is,is
50,a03-037-05-06_50_and,and
111,b04-116-06-01_111_control,control
128,c06-027-04-06_128_bar,bar
638,r02-006-02-05_638_which,which
332,g06-031a-01-08_332_but,but
127,c06-106-08-03_127_James,James
85,a06-124-00-06_85_that,that
3,a01-003x-08-00_3_appear,appear
336,g06-045e-02-05_336_trial,trial
119,g05-094-03-05_119_was,was
544,m04-000-02-01_544_into,into
670,r06-035-03-04_670_he,he
48,a03-030-00-00_48_In,In
153,c03-003d-03-05_153_of,of
197,d04-121-04-00_197_symbols,symbols
239,e04-083-02-07_239_side,side
330,h04-021-02-10_330_The,The
90,b01-044-03-02_90_until,until
14,a01-053x-00-06_14_alleged,alleged
0,a01-128u-08-03_0_the,the
341,g06-047j-05-02_341_men,men
256,f01-147-05-01_256_little,little
111,b04-116-00-07_111_the,the
559,n02-016-00-01_559_Oh,Oh
133,c06-043-02-01_133_with,with
671,r06-097-05-01_671_had,had
586,n04-195-04-02_586_these,these
118,b05-067-04-09_118_expert,expert
