16,no-nb_digibok_2013060608065_0016_94,fjerde
47,no-nb_digibok_2013060608065_0047_41,uagtet
44,no-nb_digibok_2013060608065_0044_85,fastsat
21,no-nb_digibok_2013060608065_0021_2,paa
17,no-nb_digibok_2013060608065_0017_131,For
14,no-nb_digibok_2013060608065_0014_34,Deres
16,no-nb_digibok_2013060608065_0016_197,at
40,no-nb_digibok_2013060608065_0040_15,i
22,no-nb_digibok_2013060608065_0022_92,brnges
43,no-nb_digibok_2013060608065_0043_145,der
15,no-nb_digibok_2013060608065_0015_215,men
10,no-nb_digibok_2013060608065_0010_59,som
24,no-nb_digibok_2013060608065_0024_15,haver
3,no-nb_digibok_2013060608065_0003_57,Octoritets
23,no-nb_digibok_2013060608065_0023_187,Lovbud
40,no-nb_digibok_2013060608065_0040_62,mod
36,no-nb_digibok_2013060608065_0036_75,var
11,no-nb_digibok_2013060608065_0011_162,aller
10,no-nb_digibok_2013060608065_0010_164,almindeligt
15,no-nb_digibok_2013060608065_0015_134,en
10,no-nb_digibok_2013060608065_0010_88,af
7,no-nb_digibok_2013060608065_0007_91,gjeldende
42,no-nb_digibok_2013060608065_0042_46,specielle
30,no-nb_digibok_2013060608065_0030_161,un
19,no-nb_digibok_2013060608065_0019_85,I
14,no-nb_digibok_2013060608065_0014_173,at
6,no-nb_digibok_2013060608065_0006_71,deles
42,no-nb_digibok_2013060608065_0042_58,Alders
44,no-nb_digibok_2013060608065_0044_51,forekom
10,no-nb_digibok_2013060608065_0010_44,gjennem
32,no-nb_digibok_2013060608065_0032_173,ganske
22,no-nb_digibok_2013060608065_0022_129,til
39,no-nb_digibok_2013060608065_0039_140,flere
40,no-nb_digibok_2013060608065_0040_51,er
24,no-nb_digibok_2013060608065_0024_65,at
12,no-nb_digibok_2013060608065_0012_44,Ret
49,no-nb_digibok_2013060608065_0049_158,i
13,no-nb_digibok_2013060608065_0013_143,denne
25,no-nb_digibok_2013060608065_0025_26,bruger
17,no-nb_digibok_2013060608065_0017_53,norske
4,no-nb_digibok_2013060608065_0004_30,i
8,no-nb_digibok_2013060608065_0008_125,ikke
26,no-nb_digibok_2013060608065_0026_136,samme
33,no-nb_digibok_2013060608065_0033_87,hvad
46,no-nb_digibok_2013060608065_0046_37,i
26,no-nb_digibok_2013060608065_0026_8,fordi
12,no-nb_digibok_2013060608065_0012_20,de
30,no-nb_digibok_2013060608065_0030_35,i
44,no-nb_digibok_2013060608065_0044_170,Toldordinancen
41,no-nb_digibok_2013060608065_0041_156,fra
39,no-nb_digibok_2013060608065_0039_90,afficeret
17,no-nb_digibok_2013060608065_0017_58,Begreber
25,no-nb_digibok_2013060608065_0025_130,tillægge
17,no-nb_digibok_2013060608065_0017_87,Søret
41,no-nb_digibok_2013060608065_0041_138,den
7,no-nb_digibok_2013060608065_0007_18,migtigste
29,no-nb_digibok_2013060608065_0029_41,Lovbogens
44,no-nb_digibok_2013060608065_0044_176,kommende
4,no-nb_digibok_2013060608065_0004_153,hvad
25,no-nb_digibok_2013060608065_0025_116,hans
49,no-nb_digibok_2013060608065_0049_103,om
27,no-nb_digibok_2013060608065_0027_165,De
32,no-nb_digibok_2013060608065_0032_121,i
23,no-nb_digibok_2013060608065_0023_157,maatte
29,no-nb_digibok_2013060608065_0029_161,der
29,no-nb_digibok_2013060608065_0029_92,uberorte
30,no-nb_digibok_2013060608065_0030_149,ikke
11,no-nb_digibok_2013060608065_0011_164,messe
20,no-nb_digibok_2013060608065_0020_70,at
13,no-nb_digibok_2013060608065_0013_8,her
11,no-nb_digibok_2013060608065_0011_178,virkeligt
21,no-nb_digibok_2013060608065_0021_146,i
25,no-nb_digibok_2013060608065_0025_118,Forklaringer
7,no-nb_digibok_2013060608065_0007_162,at
16,no-nb_digibok_2013060608065_0016_7,den
16,no-nb_digibok_2013060608065_0016_157,Klarse
25,no-nb_digibok_2013060608065_0025_98,Beviisbyrden
39,no-nb_digibok_2013060608065_0039_150,Ef
4,no-nb_digibok_2013060608065_0004_114,Tidvalderens
41,no-nb_digibok_2013060608065_0041_65,de
14,no-nb_digibok_2013060608065_0014_71,hvad
32,no-nb_digibok_2013060608065_0032_35,om
22,no-nb_digibok_2013060608065_0022_23,Laugthingsret
5,no-nb_digibok_2013060608065_0005_59,Deel
14,no-nb_digibok_2013060608065_0014_36,en
26,no-nb_digibok_2013060608065_0026_43,er
30,no-nb_digibok_2013060608065_0030_147,sig
12,no-nb_digibok_2013060608065_0012_126,I
37,no-nb_digibok_2013060608065_0037_40,vi
5,no-nb_digibok_2013060608065_0005_37,fortrængt
29,no-nb_digibok_2013060608065_0029_122,ganske
50,no-nb_digibok_2013060608065_0050_113,vil
46,no-nb_digibok_2013060608065_0046_141,er
22,no-nb_digibok_2013060608065_0022_84,Dommer
22,no-nb_digibok_2013060608065_0022_66,at
33,no-nb_digibok_2013060608065_0033_112,Lovbud
50,no-nb_digibok_2013060608065_0050_132,givne
37,no-nb_digibok_2013060608065_0037_138,et
10,no-nb_digibok_2013060608065_0010_128,Kong
20,no-nb_digibok_2013060608065_0020_120,i
8,no-nb_digibok_2013060608065_0008_195,havennn
39,no-nb_digibok_2013060608065_0039_6,citerede
6,no-nb_digibok_2013060608065_0006_11,leder
10,no-nb_digibok_2013060608065_0010_150,denne
12,no-nb_digibok_2013060608065_0012_30,medens
15,no-nb_digibok_2013060608065_0015_61,til
